question,query
Show all id values from the customers table.,SELECT id FROM customers;
Show all stock values from the products table.,SELECT stock FROM products;
Show all department values from the courses table.,SELECT department FROM courses;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all email values from the customers table.,SELECT email FROM customers;
Show all email values from the customers table.,SELECT email FROM customers;
Show all title values from the courses table.,SELECT title FROM courses;
Show all email values from the customers table.,SELECT email FROM customers;
Get the id from courses along with matching id from customers.,"SELECT courses.id, customers.id FROM courses JOIN customers ON courses.id = customers.id;"
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Get all rows from students where enrollment_date is greater than the average.,SELECT * FROM students WHERE enrollment_date > (SELECT AVG(enrollment_date) FROM students);
Get the name from departments along with matching name from employees.,"SELECT departments.name, employees.name FROM departments JOIN employees ON departments.id = employees.id;"
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Get the course_id from grades along with matching order_date from orders.,"SELECT grades.course_id, orders.order_date FROM grades JOIN orders ON grades.id = orders.id;"
Get the name from departments along with matching id from customers.,"SELECT departments.name, customers.id FROM departments JOIN customers ON departments.id = customers.id;"
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all id values from the departments table.,SELECT id FROM departments;
Show all name values from the departments table.,SELECT name FROM departments;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all id values from the courses table.,SELECT id FROM courses;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get the gpa from students along with matching id from orders.,"SELECT students.gpa, orders.id FROM students JOIN orders ON students.id = orders.id;"
Show all category values from the products table.,SELECT category FROM products;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all id values from the products table.,SELECT id FROM products;
Show all name values from the employees table.,SELECT name FROM employees;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all id values from the products table.,SELECT id FROM products;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from employees where hire_date is greater than the average.,SELECT * FROM employees WHERE hire_date > (SELECT AVG(hire_date) FROM employees);
Get the name from customers along with matching grade from grades.,"SELECT customers.name, grades.grade FROM customers JOIN grades ON customers.id = grades.id;"
Show all name values from the products table.,SELECT name FROM products;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Get all rows from payments where payment_date is greater than the average.,SELECT * FROM payments WHERE payment_date > (SELECT AVG(payment_date) FROM payments);
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Get all rows from students where enrollment_date is greater than the average.,SELECT * FROM students WHERE enrollment_date > (SELECT AVG(enrollment_date) FROM students);
Get the name from students along with matching student_id from grades.,"SELECT students.name, grades.student_id FROM students JOIN grades ON students.id = grades.id;"
Show all stock values from the products table.,SELECT stock FROM products;
Show all location values from the departments table.,SELECT location FROM departments;
Get the id from courses along with matching course_id from grades.,"SELECT courses.id, grades.course_id FROM courses JOIN grades ON courses.id = grades.id;"
Show all title values from the courses table.,SELECT title FROM courses;
Get the credits from courses along with matching id from customers.,"SELECT courses.credits, customers.id FROM courses JOIN customers ON courses.id = customers.id;"
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all name values from the departments table.,SELECT name FROM departments;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Get the gpa from students along with matching name from departments.,"SELECT students.gpa, departments.name FROM students JOIN departments ON students.id = departments.id;"
Show all location values from the departments table.,SELECT location FROM departments;
Get all rows from orders where id is greater than the average.,SELECT * FROM orders WHERE id > (SELECT AVG(id) FROM orders);
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get all rows from products where price is greater than the average.,SELECT * FROM products WHERE price > (SELECT AVG(price) FROM products);
Show all name values from the employees table.,SELECT name FROM employees;
Show all price values from the products table.,SELECT price FROM products;
Show all id values from the employees table.,SELECT id FROM employees;
Show all id values from the payments table.,SELECT id FROM payments;
Get the hire_date from employees along with matching payment_method from payments.,"SELECT employees.hire_date, payments.payment_method FROM employees JOIN payments ON employees.id = payments.id;"
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get all rows from customers where email is greater than the average.,SELECT * FROM customers WHERE email > (SELECT AVG(email) FROM customers);
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Get all rows from payments where order_id is greater than the average.,SELECT * FROM payments WHERE order_id > (SELECT AVG(order_id) FROM payments);
Get all rows from payments where payment_date is greater than the average.,SELECT * FROM payments WHERE payment_date > (SELECT AVG(payment_date) FROM payments);
Get the signup_date from customers along with matching name from departments.,"SELECT customers.signup_date, departments.name FROM customers JOIN departments ON customers.id = departments.id;"
Show all email values from the customers table.,SELECT email FROM customers;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all department values from the courses table.,SELECT department FROM courses;
Get all rows from grades where course_id is greater than the average.,SELECT * FROM grades WHERE course_id > (SELECT AVG(course_id) FROM grades);
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all email values from the customers table.,SELECT email FROM customers;
Show all location values from the departments table.,SELECT location FROM departments;
Get the payment_method from payments along with matching department from courses.,"SELECT payments.payment_method, courses.department FROM payments JOIN courses ON payments.id = courses.id;"
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get the grade from grades along with matching payment_date from payments.,"SELECT grades.grade, payments.payment_date FROM grades JOIN payments ON grades.id = payments.id;"
Get the name from products along with matching location from departments.,"SELECT products.name, departments.location FROM products JOIN departments ON products.id = departments.id;"
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the departments table.,SELECT id FROM departments;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all name values from the departments table.,SELECT name FROM departments;
Show all name values from the students table.,SELECT name FROM students;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all name values from the employees table.,SELECT name FROM employees;
Get the payment_method from payments along with matching name from products.,"SELECT payments.payment_method, products.name FROM payments JOIN products ON payments.id = products.id;"
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all title values from the courses table.,SELECT title FROM courses;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get the stock from products along with matching id from employees.,"SELECT products.stock, employees.id FROM products JOIN employees ON products.id = employees.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get the grade from grades along with matching price from products.,"SELECT grades.grade, products.price FROM grades JOIN products ON grades.id = products.id;"
Get the stock from products along with matching name from students.,"SELECT products.stock, students.name FROM products JOIN students ON products.id = students.id;"
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all name values from the departments table.,SELECT name FROM departments;
Show all name values from the departments table.,SELECT name FROM departments;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all id values from the payments table.,SELECT id FROM payments;
Show all id values from the payments table.,SELECT id FROM payments;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get all rows from payments where id is greater than the average.,SELECT * FROM payments WHERE id > (SELECT AVG(id) FROM payments);
Get the enrollment_date from students along with matching department_id from employees.,"SELECT students.enrollment_date, employees.department_id FROM students JOIN employees ON students.id = employees.id;"
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all id values from the courses table.,SELECT id FROM courses;
Show all title values from the courses table.,SELECT title FROM courses;
Get the payment_date from payments along with matching signup_date from customers.,"SELECT payments.payment_date, customers.signup_date FROM payments JOIN customers ON payments.id = customers.id;"
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all title values from the courses table.,SELECT title FROM courses;
Show all id values from the orders table.,SELECT id FROM orders;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all category values from the products table.,SELECT category FROM products;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all name values from the students table.,SELECT name FROM students;
Get the department from courses along with matching payment_date from payments.,"SELECT courses.department, payments.payment_date FROM courses JOIN payments ON courses.id = payments.id;"
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all id values from the courses table.,SELECT id FROM courses;
Get the title from courses along with matching id from employees.,"SELECT courses.title, employees.id FROM courses JOIN employees ON courses.id = employees.id;"
Get the credits from courses along with matching customer_id from orders.,"SELECT courses.credits, orders.customer_id FROM courses JOIN orders ON courses.id = orders.id;"
Get the course_id from grades along with matching price from products.,"SELECT grades.course_id, products.price FROM grades JOIN products ON grades.id = products.id;"
Get the title from courses along with matching department_id from employees.,"SELECT courses.title, employees.department_id FROM courses JOIN employees ON courses.id = employees.id;"
Show all name values from the employees table.,SELECT name FROM employees;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Get all rows from products where name is greater than the average.,SELECT * FROM products WHERE name > (SELECT AVG(name) FROM products);
Show all category values from the products table.,SELECT category FROM products;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all id values from the payments table.,SELECT id FROM payments;
Get the id from departments along with matching grade from grades.,"SELECT departments.id, grades.grade FROM departments JOIN grades ON departments.id = grades.id;"
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Get the id from employees along with matching id from courses.,"SELECT employees.id, courses.id FROM employees JOIN courses ON employees.id = courses.id;"
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from orders where id is greater than the average.,SELECT * FROM orders WHERE id > (SELECT AVG(id) FROM orders);
Get all rows from customers where signup_date is greater than the average.,SELECT * FROM customers WHERE signup_date > (SELECT AVG(signup_date) FROM customers);
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all id values from the courses table.,SELECT id FROM courses;
Show all title values from the courses table.,SELECT title FROM courses;
Show all id values from the payments table.,SELECT id FROM payments;
Show all email values from the customers table.,SELECT email FROM customers;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all stock values from the products table.,SELECT stock FROM products;
Get the salary from employees along with matching payment_method from payments.,"SELECT employees.salary, payments.payment_method FROM employees JOIN payments ON employees.id = payments.id;"
Get all rows from employees where id is greater than the average.,SELECT * FROM employees WHERE id > (SELECT AVG(id) FROM employees);
Get all rows from students where major is greater than the average.,SELECT * FROM students WHERE major > (SELECT AVG(major) FROM students);
Show all name values from the departments table.,SELECT name FROM departments;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get the id from students along with matching id from payments.,"SELECT students.id, payments.id FROM students JOIN payments ON students.id = payments.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Show all department values from the courses table.,SELECT department FROM courses;
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Show all id values from the customers table.,SELECT id FROM customers;
Get the id from students along with matching name from products.,"SELECT students.id, products.name FROM students JOIN products ON students.id = products.id;"
Show all name values from the employees table.,SELECT name FROM employees;
Show all name values from the departments table.,SELECT name FROM departments;
Get the signup_date from customers along with matching total_amount from orders.,"SELECT customers.signup_date, orders.total_amount FROM customers JOIN orders ON customers.id = orders.id;"
Show all name values from the students table.,SELECT name FROM students;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all email values from the customers table.,SELECT email FROM customers;
Show all id values from the departments table.,SELECT id FROM departments;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get the location from departments along with matching id from employees.,"SELECT departments.location, employees.id FROM departments JOIN employees ON departments.id = employees.id;"
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all name values from the products table.,SELECT name FROM products;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get all rows from payments where order_id is greater than the average.,SELECT * FROM payments WHERE order_id > (SELECT AVG(order_id) FROM payments);
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all id values from the orders table.,SELECT id FROM orders;
Show all name values from the departments table.,SELECT name FROM departments;
Show all id values from the products table.,SELECT id FROM products;
Show all id values from the students table.,SELECT id FROM students;
Show all major values from the students table.,SELECT major FROM students;
Get the total_amount from orders along with matching id from departments.,"SELECT orders.total_amount, departments.id FROM orders JOIN departments ON orders.id = departments.id;"
Show all id values from the departments table.,SELECT id FROM departments;
Get the id from departments along with matching id from products.,"SELECT departments.id, products.id FROM departments JOIN products ON departments.id = products.id;"
Show all id values from the orders table.,SELECT id FROM orders;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all id values from the departments table.,SELECT id FROM departments;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from courses where department is greater than the average.,SELECT * FROM courses WHERE department > (SELECT AVG(department) FROM courses);
Show all name values from the departments table.,SELECT name FROM departments;
Show all department values from the courses table.,SELECT department FROM courses;
Show all gpa values from the students table.,SELECT gpa FROM students;
Get the category from products along with matching total_amount from orders.,"SELECT products.category, orders.total_amount FROM products JOIN orders ON products.id = orders.id;"
Show all id values from the orders table.,SELECT id FROM orders;
Show all id values from the customers table.,SELECT id FROM customers;
Show all id values from the students table.,SELECT id FROM students;
Show all name values from the students table.,SELECT name FROM students;
Get the id from customers along with matching order_id from payments.,"SELECT customers.id, payments.order_id FROM customers JOIN payments ON customers.id = payments.id;"
Get the title from courses along with matching signup_date from customers.,"SELECT courses.title, customers.signup_date FROM courses JOIN customers ON courses.id = customers.id;"
Show all name values from the departments table.,SELECT name FROM departments;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all name values from the customers table.,SELECT name FROM customers;
Get all rows from customers where id is greater than the average.,SELECT * FROM customers WHERE id > (SELECT AVG(id) FROM customers);
Get all rows from employees where salary is greater than the average.,SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
Show all id values from the students table.,SELECT id FROM students;
Get all rows from products where id is greater than the average.,SELECT * FROM products WHERE id > (SELECT AVG(id) FROM products);
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the students table.,SELECT id FROM students;
Show all category values from the products table.,SELECT category FROM products;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all salary values from the employees table.,SELECT salary FROM employees;
Get the category from products along with matching credits from courses.,"SELECT products.category, courses.credits FROM products JOIN courses ON products.id = courses.id;"
Get the price from products along with matching grade from grades.,"SELECT products.price, grades.grade FROM products JOIN grades ON products.id = grades.id;"
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the departments table.,SELECT id FROM departments;
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from employees where name is greater than the average.,SELECT * FROM employees WHERE name > (SELECT AVG(name) FROM employees);
Get the id from courses along with matching salary from employees.,"SELECT courses.id, employees.salary FROM courses JOIN employees ON courses.id = employees.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all department values from the courses table.,SELECT department FROM courses;
Get all rows from students where enrollment_date is greater than the average.,SELECT * FROM students WHERE enrollment_date > (SELECT AVG(enrollment_date) FROM students);
Show all department values from the courses table.,SELECT department FROM courses;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all email values from the customers table.,SELECT email FROM customers;
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all name values from the customers table.,SELECT name FROM customers;
Get the amount from payments along with matching credits from courses.,"SELECT payments.amount, courses.credits FROM payments JOIN courses ON payments.id = courses.id;"
Show all name values from the products table.,SELECT name FROM products;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all id values from the employees table.,SELECT id FROM employees;
Get the salary from employees along with matching name from students.,"SELECT employees.salary, students.name FROM employees JOIN students ON employees.id = students.id;"
Get the enrollment_date from students along with matching price from products.,"SELECT students.enrollment_date, products.price FROM students JOIN products ON students.id = products.id;"
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all location values from the departments table.,SELECT location FROM departments;
Show all name values from the employees table.,SELECT name FROM employees;
Get the email from customers along with matching department_id from employees.,"SELECT customers.email, employees.department_id FROM customers JOIN employees ON customers.id = employees.id;"
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all id values from the students table.,SELECT id FROM students;
Show all price values from the products table.,SELECT price FROM products;
Show all salary values from the employees table.,SELECT salary FROM employees;
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all major values from the students table.,SELECT major FROM students;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from students where major is greater than the average.,SELECT * FROM students WHERE major > (SELECT AVG(major) FROM students);
Get the email from customers along with matching location from departments.,"SELECT customers.email, departments.location FROM customers JOIN departments ON customers.id = departments.id;"
Show all id values from the courses table.,SELECT id FROM courses;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all name values from the customers table.,SELECT name FROM customers;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all salary values from the employees table.,SELECT salary FROM employees;
Get the enrollment_date from students along with matching email from customers.,"SELECT students.enrollment_date, customers.email FROM students JOIN customers ON students.id = customers.id;"
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Get all rows from students where id is greater than the average.,SELECT * FROM students WHERE id > (SELECT AVG(id) FROM students);
Get all rows from orders where customer_id is greater than the average.,SELECT * FROM orders WHERE customer_id > (SELECT AVG(customer_id) FROM orders);
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get the name from products along with matching id from orders.,"SELECT products.name, orders.id FROM products JOIN orders ON products.id = orders.id;"
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all title values from the courses table.,SELECT title FROM courses;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all name values from the customers table.,SELECT name FROM customers;
Get the title from courses along with matching id from customers.,"SELECT courses.title, customers.id FROM courses JOIN customers ON courses.id = customers.id;"
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get all rows from employees where name is greater than the average.,SELECT * FROM employees WHERE name > (SELECT AVG(name) FROM employees);
Show all id values from the students table.,SELECT id FROM students;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get all rows from employees where salary is greater than the average.,SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get all rows from products where category is greater than the average.,SELECT * FROM products WHERE category > (SELECT AVG(category) FROM products);
Show all id values from the payments table.,SELECT id FROM payments;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all id values from the employees table.,SELECT id FROM employees;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all location values from the departments table.,SELECT location FROM departments;
Show all id values from the courses table.,SELECT id FROM courses;
Get the name from employees along with matching category from products.,"SELECT employees.name, products.category FROM employees JOIN products ON employees.id = products.id;"
Show all id values from the products table.,SELECT id FROM products;
Show all id values from the products table.,SELECT id FROM products;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all name values from the products table.,SELECT name FROM products;
Get all rows from products where id is greater than the average.,SELECT * FROM products WHERE id > (SELECT AVG(id) FROM products);
Show all email values from the customers table.,SELECT email FROM customers;
Get the email from customers along with matching category from products.,"SELECT customers.email, products.category FROM customers JOIN products ON customers.id = products.id;"
Show all id values from the students table.,SELECT id FROM students;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all title values from the courses table.,SELECT title FROM courses;
Show all email values from the customers table.,SELECT email FROM customers;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all title values from the courses table.,SELECT title FROM courses;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all amount values from the payments table.,SELECT amount FROM payments;
Get the student_id from grades along with matching payment_date from payments.,"SELECT grades.student_id, payments.payment_date FROM grades JOIN payments ON grades.id = payments.id;"
Get the id from departments along with matching credits from courses.,"SELECT departments.id, courses.credits FROM departments JOIN courses ON departments.id = courses.id;"
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all price values from the products table.,SELECT price FROM products;
Show all name values from the departments table.,SELECT name FROM departments;
Get all rows from students where name is greater than the average.,SELECT * FROM students WHERE name > (SELECT AVG(name) FROM students);
Get all rows from customers where signup_date is greater than the average.,SELECT * FROM customers WHERE signup_date > (SELECT AVG(signup_date) FROM customers);
Get the name from departments along with matching department from courses.,"SELECT departments.name, courses.department FROM departments JOIN courses ON departments.id = courses.id;"
Get all rows from employees where name is greater than the average.,SELECT * FROM employees WHERE name > (SELECT AVG(name) FROM employees);
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all id values from the products table.,SELECT id FROM products;
Show all email values from the customers table.,SELECT email FROM customers;
Show all name values from the products table.,SELECT name FROM products;
Get the student_id from grades along with matching id from departments.,"SELECT grades.student_id, departments.id FROM grades JOIN departments ON grades.id = departments.id;"
Get the department_id from employees along with matching name from departments.,"SELECT employees.department_id, departments.name FROM employees JOIN departments ON employees.id = departments.id;"
Show all id values from the courses table.,SELECT id FROM courses;
Get the grade from grades along with matching id from employees.,"SELECT grades.grade, employees.id FROM grades JOIN employees ON grades.id = employees.id;"
Show all name values from the customers table.,SELECT name FROM customers;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all name values from the products table.,SELECT name FROM products;
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Show all name values from the products table.,SELECT name FROM products;
Get the grade from grades along with matching title from courses.,"SELECT grades.grade, courses.title FROM grades JOIN courses ON grades.id = courses.id;"
Show all title values from the courses table.,SELECT title FROM courses;
Show all id values from the departments table.,SELECT id FROM departments;
Show all id values from the payments table.,SELECT id FROM payments;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get the id from departments along with matching salary from employees.,"SELECT departments.id, employees.salary FROM departments JOIN employees ON departments.id = employees.id;"
Show all name values from the products table.,SELECT name FROM products;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get the payment_date from payments along with matching gpa from students.,"SELECT payments.payment_date, students.gpa FROM payments JOIN students ON payments.id = students.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get all rows from employees where hire_date is greater than the average.,SELECT * FROM employees WHERE hire_date > (SELECT AVG(hire_date) FROM employees);
Show all name values from the students table.,SELECT name FROM students;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all id values from the employees table.,SELECT id FROM employees;
Show all name values from the departments table.,SELECT name FROM departments;
Show all name values from the customers table.,SELECT name FROM customers;
Show all location values from the departments table.,SELECT location FROM departments;
Show all email values from the customers table.,SELECT email FROM customers;
Show all email values from the customers table.,SELECT email FROM customers;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get all rows from students where enrollment_date is greater than the average.,SELECT * FROM students WHERE enrollment_date > (SELECT AVG(enrollment_date) FROM students);
Show all name values from the customers table.,SELECT name FROM customers;
Show all email values from the customers table.,SELECT email FROM customers;
Show all name values from the departments table.,SELECT name FROM departments;
Show all department values from the courses table.,SELECT department FROM courses;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from products where id is greater than the average.,SELECT * FROM products WHERE id > (SELECT AVG(id) FROM products);
Show all name values from the employees table.,SELECT name FROM employees;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all stock values from the products table.,SELECT stock FROM products;
Get all rows from customers where id is greater than the average.,SELECT * FROM customers WHERE id > (SELECT AVG(id) FROM customers);
Get the name from employees along with matching signup_date from customers.,"SELECT employees.name, customers.signup_date FROM employees JOIN customers ON employees.id = customers.id;"
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the students table.,SELECT id FROM students;
Show all id values from the departments table.,SELECT id FROM departments;
Show all email values from the customers table.,SELECT email FROM customers;
Get all rows from payments where amount is greater than the average.,SELECT * FROM payments WHERE amount > (SELECT AVG(amount) FROM payments);
Get all rows from payments where id is greater than the average.,SELECT * FROM payments WHERE id > (SELECT AVG(id) FROM payments);
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Get the department from courses along with matching location from departments.,"SELECT courses.department, departments.location FROM courses JOIN departments ON courses.id = departments.id;"
Show all name values from the departments table.,SELECT name FROM departments;
Show all category values from the products table.,SELECT category FROM products;
Show all id values from the orders table.,SELECT id FROM orders;
Show all id values from the customers table.,SELECT id FROM customers;
